gid,d_name,area,
다사465423,가리봉동,1725.433,가리봉동
다사465423,가리봉동,7138.769,가리봉동
다사447453,구로2동,9663.741,구로2동
다사457459,신도림동,10000,신도림동
다사455439,구로2동,10000,구로2동
다사437449,고척1동,10000,고척1동
다사399431,항동,8773.996,항동
다사463432,구로3동,10000,구로3동
다사424451,고척2동,10000,고척2동
다사422442,오류1동,10000,오류1동
다사408447,수궁동,10000,수궁동
다사421450,개봉1동,10000,개봉1동
다사424452,고척2동,10000,고척2동
다사426427,개봉3동,10000,개봉3동
다사426436,개봉2동,9968.625,개봉2동
다사426436,개봉2동,31.375,개봉2동
다사457441,구로2동,10000,구로2동
다사461452,구로5동,10000,구로5동
다사413445,오류1동,10000,오류1동
다사418424,오류2동,10000,오류2동
다사436442,개봉1동,10000,개봉1동
다사449435,구로1동,10000,구로1동
다사451449,구로2동,10000,구로2동
다사438450,고척1동,10000,고척1동
다사407441,수궁동,10000,수궁동
다사415426,오류2동,10000,오류2동
다사425430,개봉3동,10000,개봉3동
다사451452,구로2동,1889.915,구로2동
다사451452,구로2동,8110.085,구로2동
다사461426,가리봉동,10000,가리봉동
다사417444,오류1동,10000,오류1동
다사456451,구로5동,10000,구로5동
다사408440,수궁동,10000,수궁동
다사411439,오류2동,2259.649,오류2동
다사411439,오류2동,7740.351,오류2동
다사434443,개봉1동,2112.205,개봉1동
다사434443,개봉1동,7887.795,개봉1동
다사413442,수궁동,0.436,수궁동
다사413442,수궁동,9999.564,수궁동
다사401424,항동,10000,항동
다사427432,개봉3동,10000,개봉3동
다사458425,가리봉동,4141.566,가리봉동
다사430449,개봉1동,1619.501,개봉1동
다사430449,개봉1동,2226.419,개봉1동
다사430449,개봉1동,6154.08,개봉1동
다사433451,고척1동,8417.797,고척1동
다사433451,고척1동,1582.203,고척1동
다사409443,수궁동,10000,수궁동
다사453434,구로2동,10000,구로2동
다사410436,오류2동,10000,오류2동
다사434436,개봉2동,9939.534,개봉2동
다사434436,개봉2동,60.466,개봉2동
다사450458,신도림동,10000,신도림동
다사430436,개봉2동,8956.669,개봉2동
다사430436,개봉2동,1043.331,개봉2동
다사416426,오류2동,10000,오류2동
다사452460,신도림동,10000,신도림동
다사428446,개봉1동,485.009,개봉1동
다사428446,개봉1동,9514.991,개봉1동
다사452441,구로2동,10000,구로2동
다사455433,구로2동,10000,구로2동
다사455448,구로5동,10000,구로5동
다사453433,구로2동,10000,구로2동
다사433442,개봉1동,10000,개봉1동
다사396443,수궁동,10000,수궁동
다사414438,오류2동,10000,오류2동
다사458454,신도림동,8741.069,신도림동
다사458454,신도림동,1258.931,신도림동
다사398440,수궁동,10000,수궁동
다사421451,개봉1동,10000,개봉1동
다사463443,구로4동,8680.627,구로4동
다사463443,구로4동,1319.373,구로4동
다사453457,신도림동,10000,신도림동
다사415434,오류2동,10000,오류2동
다사426434,개봉3동,10000,개봉3동
다사407447,수궁동,10000,수궁동
다사426432,개봉3동,10000,개봉3동
다사449431,구로1동,4233.132,구로1동
다사456438,구로2동,10000,구로2동
다사453446,구로2동,10000,구로2동
다사459425,가리봉동,9980.454,가리봉동
다사460451,구로5동,10000,구로5동
다사432448,고척1동,10000,고척1동
다사456445,구로2동,1827.519,구로2동
다사456445,구로2동,8172.481,구로2동
다사456449,구로5동,10000,구로5동
다사462452,구로5동,10000,구로5동
다사428449,고척2동,9963.319,고척2동
다사428449,고척2동,36.681,고척2동
다사420454,개봉1동,3660.036,개봉1동
다사427456,고척2동,10000,고척2동
다사428455,고척2동,10000,고척2동
다사451453,신도림동,10000,신도림동
다사415443,오류1동,10000,오류1동
다사426439,개봉2동,10000,개봉2동
다사445442,구로1동,10000,구로1동
다사420450,개봉1동,10000,개봉1동
다사406447,수궁동,10000,수궁동
다사428451,고척2동,10000,고척2동
다사432439,개봉2동,10000,개봉2동
다사465437,구로3동,6515.688,구로3동
다사465437,구로3동,68.95,구로3동
다사429455,고척2동,10000,고척2동
다사430443,개봉1동,10000,개봉1동
다사468430,구로3동,10000,구로3동
다사446438,구로1동,10000,구로1동
다사460443,구로5동,10000,구로5동
다사400427,항동,10000,항동
다사415436,오류2동,10000,오류2동
다사462447,구로5동,10000,구로5동
다사430441,개봉2동,7702.546,개봉2동
다사430441,개봉2동,2297.454,개봉2동
다사434451,고척1동,6719.434,고척1동
다사434451,고척1동,3280.566,고척1동
다사448449,구로2동,10000,구로2동
다사407440,수궁동,10000,수궁동
다사421438,오류2동,10000,오류2동
다사452461,신도림동,10000,신도림동
다사455429,가리봉동,8720.366,가리봉동
다사451459,신도림동,10000,신도림동
다사408443,수궁동,10000,수궁동
다사402433,항동,9996.638,항동
다사418446,오류1동,9961.443,오류1동
다사418446,오류1동,38.557,오류1동
다사432434,개봉3동,10000,개봉3동
다사447437,구로1동,9717.944,구로1동
다사431443,개봉1동,10000,개봉1동
다사454441,구로2동,10000,구로2동
다사456452,구로5동,4462.197,구로5동
다사456452,구로5동,5537.803,구로5동
다사458452,구로5동,10000,구로5동
다사435442,개봉1동,10000,개봉1동
다사457443,구로2동,10000,구로2동
다사425449,고척2동,8716.143,고척2동
다사425449,고척2동,1283.857,고척2동
다사440449,고척1동,10000,고척1동
다사462433,구로3동,10000,구로3동
다사397440,수궁동,10000,수궁동
다사419435,오류2동,10000,오류2동
다사454440,구로2동,10000,구로2동
다사455436,구로2동,2857.492,구로2동
다사455436,구로2동,7142.508,구로2동
다사460448,구로5동,10000,구로5동
다사420440,오류1동,5239.285,오류1동
다사420440,오류1동,4760.715,오류1동
다사407443,수궁동,10000,수궁동
다사459426,가리봉동,10000,가리봉동
다사459458,신도림동,10000,신도림동
다사401439,수궁동,10000,수궁동
다사435454,고척2동,9236.104,고척2동
다사416442,오류1동,10000,오류1동
다사402443,수궁동,10000,수궁동
다사433455,고척2동,9944.67,고척2동
다사459448,구로5동,10000,구로5동
다사445441,구로1동,10000,구로1동
다사454456,신도림동,10000,신도림동
다사458442,구로2동,46.818,구로2동
다사458442,구로2동,9953.182,구로2동
다사459453,구로5동,10000,구로5동
다사408448,수궁동,10000,수궁동
다사462432,구로3동,10000,구로3동
다사447442,구로1동,10000,구로1동
다사419426,오류2동,10000,오류2동
다사423438,오류2동,10000,오류2동
다사453454,신도림동,10000,신도림동
다사448438,구로1동,10000,구로1동
