gid,lbl,val_200,d_name,cctv_21,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사452431,42,42,가리봉동,3.566,0,1,1,1.041,4.753,936
다사429441,967,967,개봉2동,10,0,4,1.095,1,15.33,11
다사458436,195,195,구로2동,0.12,0.185,3,1,1.041,3.441,1074
다사408442,216,216,수궁동,3.542,0,2,1,1,5.542,858
다사438448,583,583,고척1동,3.106,0,4,1.095,1,7.781,640
다사422450,154,154,개봉1동,7.615,1.365,3,1,1.041,12.471,214
다사444440,249,249,구로1동,10,0,2.5,1.095,1,13.688,68
다사413440,171,171,수궁동,9.995,0,2.5,1,1.041,13.007,155
다사457440,254,254,구로2동,8.335,1.11,3,1.095,1,13.627,82
다사448443,298,298,구로1동,10,0,4,1.095,1,15.33,11
다사433454,369,369,고척2동,5.278,0,4,1,1,9.278,497
다사437448,797,797,고척1동,9.351,0.715,3.5,1,1,13.566,85
다사456457,310,310,신도림동,3.491,0.135,3.5,1.095,1,7.803,638
다사463453,10,10,구로5동,3.582,0,3,1,1,6.582,764
다사429442,996,996,개봉1동,10,0,2.5,1.095,1,13.688,68
다사429443,N/A,0,개봉1동,0,0,2.5,1,1,2.5,1165
다사462449,843,843,구로5동,2.629,0.555,4,1.095,1,7.866,629
다사420439,189,189,오류2동,0.027,0.25,4,1,1.041,4.452,966
다사464439,48,48,구로4동,2.768,0,3,1,1,5.768,838
다사429447,356,356,개봉1동,0.191,0,1.5,1,1.041,1.76,1237
다사416445,155,155,오류1동,8.107,0,4,1,1.041,12.603,187
다사416428,342,342,오류2동,8.066,0,3.5,1,1,11.566,291
다사403424,707,707,항동,10,0,2,1.095,1,13.14,107
다사421443,557,557,오류1동,4.625,1.11,2.5,1.095,1,9.017,522
다사423444,563,563,오류1동,7.391,0,3,1.095,1,11.378,319
다사426445,106,106,개봉1동,7.1,0.835,2.5,1,1.041,10.863,370
다사450455,67,67,신도림동,5.794,0,3,1,1.041,9.155,512
다사398442,N/A,0,수궁동,0,0,0,1,1,0,1725
다사401438,103,103,수궁동,2.943,1,2.5,1,1,6.443,777
다사414426,44,44,오류2동,4.582,0,2,1.095,1,7.207,700
다사432452,578,578,고척2동,8.877,0,3.5,1.095,1,13.553,86
다사453437,206,206,구로2동,2.124,1,3.5,1,1.041,6.896,728
다사417445,868,868,오류1동,9.607,0,2.5,1.095,1,13.257,97
다사456433,288,288,구로4동,1.433,1.6,3,1,1.041,6.28,796
다사425455,157,157,고척2동,1.714,0,2.5,1,1.041,4.387,972
다사417448,786,786,개봉1동,6.675,0,3.5,1,1,10.175,422
다사455447,1157,1157,구로5동,3.909,0,3,1.095,1,7.565,665
다사404431,N/A,0,항동,0,0,1,1,1,1,1330
다사452439,297,297,구로2동,5.728,0,4,1,1.041,10.127,426
다사425441,391,391,개봉2동,2.355,0,3,1,1.041,5.575,854
다사418425,572,572,오류2동,10,0,3,1.095,1,14.235,38
다사448450,N/A,0,구로2동,0,0,1.5,1,1,1.5,1261
다사458426,120,120,가리봉동,5.806,0.455,3,1.095,1.041,10.557,390
다사461428,221,221,가리봉동,0.028,0,2,1,1.041,2.111,1196
다사428452,242,242,고척2동,6.514,0,3,1,1.041,9.904,452
