"d_code","j_code","month","flow1_tot","flow2_tot"
11530730,1117062020004,202011,1128.847,1822.8084
11530730,1117062020005,202011,705.8926,1652.3956
11530730,1117062020006,202011,829.4063,1688.2856
11530730,1117062020007,202011,7558.963,5310.0798
11530730,1117062020008,202011,1978.8321,2641.8375
11530730,1117062020009,202011,2547.156,2431.5305
11530730,1117062020010,202011,1615.1401,2551.8421
11530730,1117062020011,202011,4428.2803,3771.7508
11530730,1117062020012,202011,1103.8903,2423.8254
11530730,1117062020013,202011,926.2208,2051.0179
11530730,1117062020014,202011,1228.9419,1913.6821
11530730,1117062020015,202011,1039.0493,2261.7129
11530730,1117062020016,202011,2946.3322,4448.5223
11530730,1117062020017,202011,2275.4228,3592.654
11530730,1117062020018,202011,1002.0893,1778.7663
11530730,1117062020019,202011,2028.9236,2520.0464
11530730,1117062020020,202011,4412.5291,4967.6608
11530730,1117062020301,202011,1859.9119,4247.0192
11530730,1117062020302,202011,1921.1694,4347.9455
11530730,1117062020303,202011,2498.865,4423.0888
11530730,1117062020304,202011,3395.9352,5350.2032
11530730,1117062020401,202011,1138.9239,2369.0279
11530730,1117062020402,202011,1549.2646,2858.6003
11530730,1117062020501,202011,2110.1527,3838.2285
11530730,1117062020601,202011,888.6176,2023.8495
11530730,1117062020701,202011,785.1489,1810.0882
11530730,1117062020702,202011,2136.5865,4237.9645
11530750,1.117064e+12,202011,695532.9843,797130.2434
11530750,1117064010001,202011,899.3708,1620.3337
11530750,1117064010002,202011,1596.9739,2612.3619
11530750,1117064010003,202011,1926.8235,3568.5491
11530750,1117064010004,202011,2009.492,2768.4334
11530750,1117064010005,202011,1583.831,3779.107
11530750,1117064010006,202011,2356.1443,2737.1384
11530750,1117064010007,202011,3440.1903,5527.8797
11530750,1117064010008,202011,2045.7629,3270.7739
11530750,1117064010009,202011,2666.5573,5178.9257
11530750,1117064010010,202011,2196.3442,3836.013
11530750,1117064010011,202011,3567.8714,3586.8251
11530750,1117064010012,202011,1710.1862,2763.6062
11530750,1117064010013,202011,1361.3477,2413.0439
11530750,1117064010014,202011,1107.3051,2034.0521
11530750,1117064010015,202011,2901.6207,4395.3341
11530750,1117064010016,202011,3194.0666,4473.7595
11530750,1117064010017,202011,2479.9154,3420.2912
11530750,1117064010018,202011,3700.5246,4420.2959
11530750,1117064010019,202011,4012.311,5259.0137
11530750,1117064010020,202011,1511.605,3835.2868
11530750,1117064010021,202011,11572.765,7359.556
11530750,1117064010022,202011,2420.0881,3114.5224
11530750,1117064010023,202011,4957.0847,4872.1546
11530750,1117064010024,202011,2114.0537,3548.5148
11530750,1117064010025,202011,2079.9841,2741.6672
11530750,1117064010026,202011,3163.543,4348.4568
11530750,1117064010027,202011,2947.4699,4478.6859
11530750,1117064011101,202011,3516.4428,5582.6874
11530750,1117064011102,202011,1481.6266,2114.9028
11530750,1117064011103,202011,4155.8219,6690.2122
11530750,1117064011104,202011,3701.9358,6282.5377
11530750,1117064011201,202011,5934.1978,8425.7331
11530750,1117064011202,202011,4741.7356,6288.5038
11530750,1117064020001,202011,15631.6547,6607.8546
11530750,1117064020002,202011,5767.9798,5633.036
11530750,1117064020004,202011,4924.3389,3788.3717
11530750,1117064020101,202011,511.7776,1324.086
